name,freebase_id,dob
Jan Hus,/m/042x_,
Frank P. Ramsey,/m/01jkgd,
Posidonius,/m/0m1s3,
Plutarch,/m/063_9,
Robert Boyle,/m/0d98m,
Plato,/m/05qmj,
Gorgias,/m/0p7d0,
Nasir al-Din al-Tusi,/m/0428hj,
Pythagoras,/m/05sr0,
Abū Rayḥān al-Bīrūnī,/m/01ny93,
Omar Khayyám,/m/0m_hz,
Terence McKenna,/m/01k1wq,
Duns Scotus,/m/0m1wd,
Adam Weishaupt,/m/0wjz,
Mikhail Bakunin,/m/0fyhn,
Samuel Taylor Coleridge,/m/078w2,
Sigmund Freud,/m/06myp,
Josef Breuer,/m/053rzy,
Karl Robert Eduard von Hartmann,/m/02vhlz,
William Wollaston,/m/0q250,
Franz Brentano,/m/0l235,
Seneca the Younger,/m/0j_8y,
Thomas Carlyle,/m/0ymtb,
Thomas Hobbes,/m/07c37,
Thomas Jefferson,/m/07cbs,
Giovanni Pico della Mirandola,/m/013w_3,
Thomas More,/m/07hl9,
Thomas Aquinas,/m/07kb5,
F. H. Bradley,/m/02dtxl,
Proclus,/m/066c6,
Pseudo-Dionysius the Areopagite,/m/05x_l,
Walt Whitman,/m/085gk,
William Paley,/m/08496,
Wang Fuzhi,/m/055kf1,
Richard Avenarius,/m/0440vk,
Cheng Yi,/m/027gyyf,
Rudolf Steiner,/m/06hwd,
Charles Bernard Renouvier,/m/017lh3,
David Hartley,/m/017gqs,
F. C. S. Schiller,/m/05xp4l,
Muhammad Usman Damani,/m/0ch3vxc,
Muhammad Sirajuddin Naqshbandi,/m/0ch2vc_,
Zhou Dunyi,/m/06r6f2,
Frithjof Bergmann,/m/0b0kb9,
Ernst Mach,/m/0fcy0,
Guy Debord,/m/014pkc,
Philippa Foot,/m/04ycgp,
Candace Vogler,/m/0bbs7g,
Carl Stumpf,/m/02hrxh,
Leo Strauss,/m/01dvtx,
Joseph Cropsey,/m/02691cg,
Evald Ilyenkov,/m/02n65z,
Cornelius Castoriadis,/m/032hw6,
Cornelius Van Til,/m/0bh36k,
Francis Schaeffer,/m/018d22,
Kurt Koffka,/m/01q0z8,
Euclid of Megara,/m/03n25g,
Stilpo,/m/04jdxd,
Max Horkheimer,/m/04xnh,
Erich Fromm,/m/0cb9c,
H. L. A. Hart,/m/01tfg3,
Neil MacCormick,/m/025q95,
Henry Sidgwick,/m/01dcwz,
J. J. C. Smart,/m/028ssh,
Frantz Fanon,/m/0nk7l,
Lewis Gordon,/m/06nj4n,
Nelson Goodman,/m/04dyc2,
Jerry Fodor,/m/027931,
Arthur Danto,/m/041yx0,
György Lukács,/m/01t57w,
René Guénon,/m/032xc4,
Huston Smith,/m/03v8zv,
Gianni Vattimo,/m/07k8bc,
Mario Kopić,/m/04y9j94,
Hannah Arendt,/m/0nk72,
Cleomedes,/m/077h0y,
Jason of Nysa,/m/03ck33s,
Hilary Putnam,/m/0j_qm,
Alfred Schütz,/m/0ql9l,
Georg Simmel,/m/0qngb,
Wilhelm Windelband,/m/04f7mv,
Bernard Lonergan,/m/0446t9,
Dieter Henrich,/m/02vp35p,
Manfred Frank,/m/02rxpj7,
Roland Barthes,/m/017kb5,
John Anderson,/m/01368h,
David Chalmers,/m/01m382,
Richard Price,/m/0crqcc,
Simone Weil,/m/018klb,
Friedrich Schleiermacher,/m/018fn7,
Alvin Plantinga,/m/0m6yd,
Robin Collins,/m/0bjj5b,
Michael C. Rea,/m/0ds54f6,
Bas van Fraassen,/m/04ztyb,
Al-Mawardi,/m/04h_6r,
Jean Wahl,/m/04cqs6,
Alan Watts,/m/01crts,
Aurel Kolnai,/m/03c3_3x,
Phillip Blond,/m/04n439v,
Slavoj Žižek,/m/0169ff,
Alain Badiou,/m/0351yk,
Peter Sloterdijk,/m/03tqkv,
Georges Canguilhem,/m/039hch,
Peter Rollins,/m/0d3rkt,
Jacob Taubes,/m/087jng,
Yahya ibn Ma'in,/m/0h454m,
Gilles Deleuze,/m/0399p,
Manuel De Landa,/m/021ql3,
Michael J. Shapiro,/m/0b1zk3,
William E. Connolly,/m/06p686,
Jean Cavaillès,/m/0f2w0r,
Carl Schmitt,/m/024kq1,
Émile Chartier,/m/039lqm,
Jacques Rancière,/m/01tqpm,
Gillian Rose,/m/081g2h,
Jacques Lacan,/m/043tg,
Ivan Illich,/m/01jbdk,
Rajneesh,/m/019fxc,
Gaston Bachelard,/m/02nxw4,
Antonio Negri,/m/01m2jf,
Arne Næss,/m/039v0w,
Antoine Arnauld,/m/01h7yq,
Étienne Bonnot de Condillac,/m/017gzg,
A. C. Grayling,/m/06g4pw,
Allan Bloom,/m/0lb'Baruch Spinoza',/m/015n8,
b'Albert Einstein',/m/0jcx,
b'Blaise Pascal',/m/01b0x,
b'Alexis de Tocqueville',/m/015v8f,
b'G. K. Chesterton',/m/037jz,
b'Johann Wolfgang von Goethe',/m/042q3,
b'Joseph Butler',/m/015r88,
b'Adam Smith',/m/0tfc,
b'Thomas Paine',/m/07kwl,
b'William Godwin',/m/011zsy,
b'William Petty',/m/01yfj1,
b'Zhu Xi',/m/01kdw9,
b'Wang Yangming',/m/02xb9k,
b'Benjamin Tucker',/m/01hkr,
b'Alfred North Whitehead',/m/0bwpg,
b'Ludwig von Mises',/m/0cpvcd,
b'Francis Hutcheson',/m/019sh3,
b'Paracelsus',/m/013wgy,
b'Samuel Alexander',/m/05wk13x,
b'Bernard Mandeville',/m/02qjjq,
b'Nikolai Berdyaev',/m/01thjq,
b'William Cleghorn',/m/02z9h_7,
b'Adam Ferguson',/m/017qy4,
b'Antoni Lange',/m/070mww,
b'Heraclitus',/m/03l6h,
b'Juan Donoso Cort\xc3\xa9s',/m/08hd3x,
b'Georges Sorel',/m/02zng2,
b'Emer de Vattel',/m/05x1vk,
b'Pierre-Joseph Proudhon',/m/0d7t6,
b'Kenneth Waltz',/m/04b2f0,
b'Moritz Schlick',/m/01dfd4,
b'Swami Vivekananda',/m/0cdfl,
b'Max Stirner',/m/0slqn,
b'Aristotle',/m/0gz_,
b'Bertrand Russell',/m/01bpn,
b'Arthur Schopenhauer',/m/0j3v,
b'Denis Diderot',/m/028xm,
"b""Baron d'Holbach""",/m/01btgd,
b'George Berkeley',/m/034ms,
b'George Santayana',/m/018wj9,
b'Giacomo Leopardi',/m/0c8cl,
b'Herbert Spencer',/m/01kznw,
b'Ayn Rand',/m/0h25,
b'John Stuart Mill',/m/03_hd,
b'Apuleius',/m/0t6h,
b'Ludwig Wittgenstein',/m/04hcw,
b'Niccol\xc3\xb2 Machiavelli',/m/05cvs,
b'Ren\xc3\xa9 Descartes',/m/06csk,
b'Jakob B\xc3\xb6hme',/m/02by2w,
b'Giambattista Vico',/m/015_hb,
b'Benedetto Croce',/m/037c7x,
b'Zeno of Elea',/m/01236p,
b'Otto Weininger',/m/01ckkq,
b'Isabel Paterson',/m/04zks3,
b'Baltasar Graci\xc3\xa1n',/m/04qrrt,
b'Antonio Labriola',/m/07m56m,
b'Democritus',/m/0290q,
b'Maimonides',/m/04xk5,
b'Parmenides',/m/05w9g,
b'Augustine of Hippo',/m/0w6w,
b'Ibn Tufail',/m/046bnx,
b'Giovanni Gentile',/m/03blcp,
b'Giordano Bruno',/m/03d8f,
b'Thomas Reid',/m/07bvs,
b'Averroes',/m/0cvlw,
b'C. S. Lewis',/m/01wd02c,
b'Michel de Montaigne',/m/0c2cl,
b'William James',/m/0mj0c,
b'Alexius Meinong',/m/0247kx,
b'Hermann Lotze',/m/01b5b6,
b'Joseph de Maistre',/m/01f6vp,
b'Christoph von Sigwart',/m/03lr9f,
b'G. E. Moore',/m/034n8,
b'Giuseppe Peano',/m/03dyg,
b'Gottfried Wilhelm von Leibniz',/m/0372p,
b'Owen Barfield',/m/02tp7c,
b'Richard McKeon',/m/0bbm0m,
b'Damaris Cudworth Masham',/m/058sj2,
b'Antero de Quental',/m/0373rz,
b'Fernando Pessoa',/m/03145,
b'Ernst Haeckel',/m/02mtv,
b'David Hume',/m/026lj,
b'Edmund Burke',/m/02qr0,
b'Henry David Thoreau',/m/0bwx3,
b'Emma Goldman',/m/02nmr,
b'Peter Kropotkin',/m/0dgq9,
b'Nicolas Malebranche',/m/017h16,
b'Pyrrho',/m/011k9p,
b'Pierre Bayle',/m/01stjn,
b'Epicurus',/m/02q_8,
