"p","influenced"
"http://dbpedia.org/resource/Peter_Lamborn_Wilson","http://rdf.freebase.com/ns/m.0188lg"
"http://dbpedia.org/resource/Charles_Bernard_Renouvier","http://rdf.freebase.com/ns/m.017lh3"
"http://dbpedia.org/resource/David_Ruhnken","http://rdf.freebase.com/ns/m.019ysv"
"http://dbpedia.org/resource/Gemistus_Pletho","http://rdf.freebase.com/ns/m.014fxp"
"http://dbpedia.org/resource/George_Ritzer","http://rdf.freebase.com/ns/m.015k_5"
"http://dbpedia.org/resource/Guillaume_Bud%C3%A9","http://rdf.freebase.com/ns/m.015ry1"
"http://dbpedia.org/resource/H%C3%A9l%C3%A8ne_Cixous","http://rdf.freebase.com/ns/m.016k0j"
"http://dbpedia.org/resource/Hossein_Nasr","http://rdf.freebase.com/ns/m.0191kj"
"http://dbpedia.org/resource/Immanuel_Hermann_Fichte","http://rdf.freebase.com/ns/m.0164t2"
"http://dbpedia.org/resource/Jan_Narveson","http://rdf.freebase.com/ns/m.013xnw"
"http://dbpedia.org/resource/Johann_Reuchlin","http://rdf.freebase.com/ns/m.018r53"
"http://dbpedia.org/resource/Judith_Butler","http://rdf.freebase.com/ns/m.0132q1"
"http://dbpedia.org/resource/Jun_Tsuji","http://rdf.freebase.com/ns/m.0126cl"
"http://dbpedia.org/resource/Maine_de_Biran","http://rdf.freebase.com/ns/m.017jns"
"http://dbpedia.org/resource/Murray_Bookchin","http://rdf.freebase.com/ns/m.0142kg"
"http://dbpedia.org/resource/Nahmanides","http://rdf.freebase.com/ns/m.014bzk"
"http://dbpedia.org/resource/Paracelsus","http://rdf.freebase.com/ns/m.013wgy"
"http://dbpedia.org/resource/Rudolf_von_Jhering","http://rdf.freebase.com/ns/m.018rjc"
"http://dbpedia.org/resource/Simone_Weil","http://rdf.freebase.com/ns/m.018klb"
"http://dbpedia.org/resource/Stephen_Walt","http://rdf.freebase.com/ns/m.016wkh"
"http://dbpedia.org/resource/Zhuang_Zhou","http://rdf.freebase.com/ns/m.0164zy"
"http://dbpedia.org/resource/Al-Kindi","http://rdf.freebase.com/ns/m.01nyqc"
"http://dbpedia.org/resource/Clive_Hamilton","http://rdf.freebase.com/ns/m.025sqgs"
"http://dbpedia.org/resource/Friedrich_Albert_Lange","http://rdf.freebase.com/ns/m.01qwjz"
"http://dbpedia.org/resource/George_Herbert_Mead","http://rdf.freebase.com/ns/m.01x73v"
"http://dbpedia.org/resource/Johann_Gottfried_Herder","http://rdf.freebase.com/ns/m.01qzgm"
"http://dbpedia.org/resource/Juan_Luis_Vives","http://rdf.freebase.com/ns/m.01tqbb"
"http://dbpedia.org/resource/Judah_Halevi","http://rdf.freebase.com/ns/m.01y8_n"
"http://dbpedia.org/resource/Michael_Dummett","http://rdf.freebase.com/ns/m.01s3d2"
"http://dbpedia.org/resource/Nikolai_Berdyaev","http://rdf.freebase.com/ns/m.01thjq"
"http://dbpedia.org/resource/Thomas_Metzinger","http://rdf.freebase.com/ns/m.01tyy2"
"http://dbpedia.org/resource/%C3%89mile_Boutroux","http://rdf.freebase.com/ns/m.02cln2"
"http://dbpedia.org/resource/Agnodice","http://rdf.freebase.com/ns/m.0dgjyh"
"http://dbpedia.org/resource/Petr_Chel%C4%8Dick%C3%BD","http://rdf.freebase.com/ns/m.029km3"
"http://dbpedia.org/resource/Simon_Blackburn","http://rdf.freebase.com/ns/m.028xtj"
"http://dbpedia.org/resource/%C3%89mile_Chartier","http://rdf.freebase.com/ns/m.039lqm"
"http://dbpedia.org/resource/Friedrich_Fr%C3%B6bel","http://rdf.freebase.com/ns/m.0367zx"
"http://dbpedia.org/resource/Julien_Offray_de_La_Mettrie","http://rdf.freebase.com/ns/m.03fh67"
"http://dbpedia.org/resource/Michael_Walzer","http://rdf.freebase.com/ns/m.035fn3"
"http://dbpedia.org/resource/Milovan_%C4%90ilas","http://rdf.freebase.com/ns/m.038s73"
"http://dbpedia.org/resource/Giovanni_Gentile","http://rdf.freebase.com/ns/m.03blcp"
