influencer_id,follower_id
/m/0bwpg,/m/077pvj
/m/0bwpg,/m/09035_
/m/0bwpg,/m/02bb9q
/m/0bwpg,/m/027t2kg
/m/0bwpg,/m/03hp457
/m/0bwpg,/m/05y90yc
/m/0bwpg,/m/0b1rdg
/m/0bwpg,/m/02rxdfx
/m/0bwpg,/m/019fz0
/m/0bwpg,/m/07lt8f
/m/0bwpg,/m/027d7xl
/m/0bwpg,/m/01k1wq
/m/0bwpg,/m/0g595wd
/m/0bwpg,/m/01r6rr
/m/0bwpg,/m/01b5l3
/m/0bwpg,/m/08fzjv
/m/0bwpg,/m/0bxyw2s
/m/0bwpg,/m/01x73v
/m/0bwpg,/m/02r4v1
/m/0cpvcd,/m/032r1
/m/0cpvcd,/m/052h3
/m/0cpvcd,/m/0ql9l
/m/0cpvcd,/m/03rmkl
/m/0cpvcd,/m/06rr91
/m/0cpvcd,/m/0h25
/m/0cpvcd,/m/01b5l3
/m/0cpvcd,/m/022kp6
/m/019sh3,/m/0tfc
/m/019sh3,/m/026lj
/m/019sh3,/m/015r88
/m/019sh3,/m/0cgwf
/m/019sh3,/m/03sbs
/m/013wgy,/m/02by2w
/m/05wk13x,/m/0bwpg
/m/05wk13x,/m/01368h
/m/02qjjq,/m/0tfc
/m/02qjjq,/m/032r1
/m/02qjjq,/m/03_hd
/m/02qjjq,/m/02wh0
/m/01thjq,/m/04mm79
/m/01thjq,/m/03kk6x
/m/01thjq,/m/022kp6
/m/02z9h_7,/m/017qy4
/m/017qy4,/m/032r1
/m/070mww,/m/0f8ft8
/m/03l6h,/m/0bwpg
/m/03l6h,/m/0gz_
/m/03l6h,/m/0cp8j
/m/03l6h,/m/02wh0
/m/03l6h,/m/039n1
/m/03l6h,/m/05qmj
/m/03l6h,/m/047g6
/m/03l6h,/m/099bk
/m/03l6h,/m/05nj0
/m/03l6h,/m/05w9g
/m/03l6h,/m/01k1wq
/m/03l6h,/m/033610
/m/03l6h,/m/0c2cl
/m/03l6h,/m/01368h
/m/03l6h,/m/0182n0
/m/03l6h,/m/09863
/m/03l6h,/m/0537ph
/m/03l6h,/m/03fg90
/m/08hd3x,/m/02zng2
/m/08hd3x,/m/01qhxs
/m/08hd3x,/m/024kq1
/m/08hd3x,/m/0cdwyv
/m/02zng2,/m/024kq1
/m/02zng2,/m/0fkyd
/m/02zng2,/m/037c7x
/m/02zng2,/m/0573p4
/m/02zng2,/m/0fvmff
/m/02zng2,/m/01t57w
/m/02zng2,/m/02xn4y
/m/02zng2,/m/03blcp
/m/02zng2,/m/01h2_6
/m/0d7t6,/m/02zng2
/m/0d7t6,/m/048cl
/m/0d7t6,/m/01hkr
/m/0d7t6,/m/0fyhn
/m/0d7t6,/m/0373rz
/m/0d7t6,/m/0dgq9
/m/0d7t6,/m/065_27
/m/0d7t6,/m/08zg_h
