name,freebase_id,yob
b'S\xc3\xb8ren Kierkegaard',/m/06qvh,1813
b'Maine de Biran',/m/017jns,1766
b'Johann Heinrich Lambert',/m/0n29h,1728
b'Jean-Jacques Rousseau',/m/0420y,1712
b'Augustus De Morgan',/m/0q2w,1806
b'Jean Bodin',/m/01nywz,1529
b'William Whewell',/m/01d48b,1794
b'Alexander Bain',/m/0121qt,1818
b'Charles Babbage',/m/01qmz,1791
b'John Locke',/m/043s3,1632
b'John Cowper Powys',/m/01ffjd,1872
b'John Dewey',/m/04411,1859
b'John Dee',/m/043y0,1527
b'Pierre Gassendi',/m/01b_dj,1592
"b'Claude Henri de Rouvroy, comte de Saint-Simon'",/m/01f3ss,1760
b'James Mill',/m/017h4t,1773
b'George Herbert Mead',/m/01x73v,1863
b'Wilhelm von Humboldt',/m/081_6,1767
b'Thomas Hill Green',/m/01f0h6,1836
b'Josiah Warren',/m/06h_n6,1798
b'George Sylvester Morris',/m/09yp5w,1840
b'Karl Marx',/m/048cl,1818
b'Leo Tolstoy',/m/01tz6vs,1828
b'Charles Fourier',/m/01jfhs,1772
b'Jules Michelet',/m/01s6q3,1798
b'Alexander Herzen',/m/02fkcx,1812
b'Petr Chel\xc4\x8dick\xc3\xbd',/m/029km3,1390
b'Joseph Dietzgen',/m/03_88v,1828
b'Karl Kautsky',/m/01x_n6,1854
b'Marcus Aurelius',/m/051x8,0121
b'Mahatma Gandhi',/m/04xfb,1869
b'Mary Wollstonecraft',/m/04_cw,1759
b'Lucretius',/m/0987k,-099
b'Desiderius Erasmus',/m/02rpq,1469
b'Michael Faraday',/m/04zt0,1791
b'Jan Hus',/m/042x_,1369
b'Frank P. Ramsey',/m/01jkgd,1903
b'Posidonius',/m/0m1s3,-134
b'Plutarch',/m/063_9,0046
b'Robert Boyle',/m/0d98m,1627
b'Plato',/m/05qmj,-426
b'Gorgias',/m/0p7d0,-482
b'Nasir al-Din al-Tusi',/m/0428hj,1201
b'Pythagoras',/m/05sr0,-584
b'Ab\xc5\xab Ray\xe1\xb8\xa5\xc4\x81n al-B\xc4\xabr\xc5\xabn\xc4\xab',/m/01ny93,0973
b'Omar Khayy\xc3\xa1m',/m/0m_hz,1048
b'Terence McKenna',/m/01k1wq,1946
b'Duns Scotus',/m/0m1wd,1265
b'Adam Weishaupt',/m/0wjz,1748
b'Mikhail Bakunin',/m/0fyhn,1814
b'Samuel Taylor Coleridge',/m/078w2,1772
b'Sigmund Freud',/m/06myp,1856
b'Josef Breuer',/m/053rzy,1842
b'Karl Robert Eduard von Hartmann',/m/02vhlz,1842
b'William Wollaston',/m/0q250,1659
b'Franz Brentano',/m/0l235,1838
b'Seneca the Younger',/m/0j_8y,-003
b'Thomas Carlyle',/m/0ymtb,1795
b'Thomas Hobbes',/m/07c37,1588
b'Thomas Jefferson',/m/07cbs,1743
b'Giovanni Pico della Mirandola',/m/013w_3,1463
b'Thomas More',/m/07hl9,1478
b'Thomas Aquinas',/m/07kb5,1225
b'F. H. Bradley',/m/02dtxl,1846
b'Proclus',/m/066c6,0412
b'Pseudo-Dionysius the Areopagite',/m/05x_l,0500
b'Walt Whitman',/m/085gk,1819
b'William Paley',/m/08496,1743
b'Wang Fuzhi',/m/055kf1,1619
b'Richard Avenarius',/m/0440vk,1843
b'Cheng Yi',/m/027gyyf,1033
b'Rudolf Steiner',/m/06hwd,1861
b'Charles Bernard Renouvier',/m/017lh3,1815
b'David Hartley',/m/017gqs,1705
b'F. C. S. Schiller',/m/05xp4l,1864
b'Muhammad Usman Damani',/m/0ch3vxc,1864
b'Muhammad Sirajuddin Naqshbandi',/m/0ch2vc_,1879
b'Zhou Dunyi',/m/06r6f2,1017
b'Frithjof Bergmann',/m/0b0kb9,1930
b'Ernst Mach',/m/0fcy0,1838
b'Guy Debord',/m/014pkc,1931
b'Philippa Foot',/m/04ycgp,1920
b'Candace Vogler',/m/0bbs7g,1920
b'Carl Stumpf',/m/02hrxh,1848
b'Leo Strauss',/m/01dvtx,1899
b'Joseph Cropsey',/m/02691cg,1919
b'Evald Ilyenkov',/m/02n65z,1924
b'Cornelius Castoriadis',/m/032hw6,1922
b'Cornelius Van Til',/m/0bh36k,1895
b'Francis Schaeffer',/m/018d22,1912
b'Kurt Koffka',/m/01q0z8,1886
b'Euclid of Megara',/m/03n25g,-450
b'Stilpo',/m/04jdxd,-400
b'Max Horkheimer',/m/04xnh,1895
b'Erich Fromm',/m/0cb9c,1900
b'H. L. A. Hart',/m/01tfg3,1907
b'Neil MacCormick',/m/025q95,1941
b'Henry Sidgwick',/m/01dcwz,1838
b'J. J. C. Smart',/m/028ssh,1920
b'Frantz Fanon',/m/0nk7l,1925
b'Lewis Gordon',/m/06nj4n,1962
b'Nelson Goodman',/m/04dyc2,1906
b'Jerry Fodor',/m/027931,1935
b'Arthur Danto',/m/041yx0,1924
b'Gy\xc3\xb6rgy Luk\xc3\xa1cs',/m/01t57w,1885
b'Ren\xc3\xa9 Gu\xc3\xa9non',/m/032xc4,1886
b'Huston Smith',/m/03v8zv,1919
b'Gianni Vattimo',/m/07k8bc,1936
b'Mario Kopi\xc4\x87',/m/04y9j94,1965
b'Hannah Arendt',/m/0nk72,1906
b'Cleomedes',/m/077h0y,0200
b'Jason of Nysa',/m/03ck33s,-100
b'Hilary Putnam',/m/0j_qm,1926
b'Alfred Sch\xc3\xbctz',/m/0ql9l,1899
b'Georg Simmel',/m/0qngb,1858
b'Wilhelm Windelband',/m/04f7mv,1848
b'Bernard Lonergan',/m/0446t9,1904
b'Dieter Henrich',/m/02vp35p,1927
b'Manfred Frank',/m/02rxpj7,1945
b'Roland Barthes',/m/017kb5,1915
b'John Anderson',/m/01368h,1893
b'David Chalmers',/m/01m382,1966
b'Richard Price',/m/0crqcc,1949
b'Simone Weil',/m/018klb,1909
b'Friedrich Schleiermacher',/m/018fn7,1768
b'Alvin Plantinga',/m/0m6yd,1932
b'Robin Collins',/m/0bjj5b,1932
b'Michael C. Rea',/m/0ds54f6,1968
b'Bas van Fraassen',/m/04ztyb,1941
b'Al-Mawardi',/m/04h_6r,0974
b'Jean Wahl',/m/04cqs6,1888
b'Alan Watts',/m/01crts,1915
b'Aurel Kolnai',/m/03c3_3x,1900
b'Phillip Blond',/m/04n439v,1966
b'Slavoj \xc5\xbdi\xc5\xbeek',/m/0169ff,1949
b'Alain Badiou',/m/0351yk,1937
b'Peter Sloterdijk',/m/03tqkv,1947
b'Georges Canguilhem',/m/039hch,1904
b'Peter Rollins',/m/0d3rkt,1973
b'Jacob Taubes',/m/087jng,1923
"b""Yahya ibn Ma'in""",/m/0h454m,0775
b'Gilles Deleuze',/m/0399p,1925
b'Manuel De Landa',/m/021ql3,1952
b'Michael J. Shapiro',/m/0b1zk3,1940
b'William E. Connolly',/m/06p686,1938
b'Jean Cavaill\xc3\xa8s',/m/0f2w0r,1903
b'Carl Schmitt',/m/024kq1,1888
b'\xc3\x89mile Chartier',/m/039lqm,1868
b'Jacques Ranci\xc3\xa8re',/m/01tqpm,1940
b'Gillian Rose',/m/081g2h,1947
b'Jacques Lacan',/m/043tg,1901
b'Ivan Illich',/m/01jbdk,1926
b'Rajneesh',/m/019fxc,1931
b'Gaston Bachelard',/m/02nxw4,1884
b'Antonio Negri',/m/01m2jf,1933
b'Arne N\xc3\xa6ss',/m/039v0w,1912
b'Antoine Arnauld',/m/01h7yq,1612
b'\xc3\x89tienne Bonnot de Condillac',/m/017gzg,1714
b'A. C. Grayling',/m/06g4pw,1949
b'Allan Bloom',/m/0lhg5,1930
b'Ferdinand de Saussure',/m/02zk8,1857
b'Edmund Husserl',/m/02ln1,1859
b'Adolf Reinach',/m/03w_89,1883
b'Amafinius',/m/0bwnq_,1883
b'F\xc3\xa9lix Guattari',/m/02zww,1930
b'Jean-Paul Sartre',/m/045bg,1905
b'Leonard Peikoff',/m/01p34g,1933
b'Andrew Bernstein',/m/07sf67,1949
b'Abraham bar Hiyya',/m/02ycrk,1065
b'Abraham ibn Ezra',/m/0125t0,1089
b'Aristippus',/m/01lfpy,-434
b'Arete of Cyrene',/m/09d9j6,-400
b'Anaxagoras',/m/0sq0,-495
b'Archelaus',/m/08fbbv,-495
b'Borden Parker Bowne',/m/0444jt,1847
b'Gilbert Simondon',/m/07hnl6,1924
b'Bernard Stiegler',/m/0h068v,1952
b'Bernard Bolzano',/m/01s0nm,1782
b'Leszek Ko\xc5\x82akowski',/m/040vxp,1927
b'Gemistus Pletho',/m/014fxp,1355
b'Claude L\xc3\xa9vi-Strauss',/m/01tvt,1908
"b'Victoria, Lady Welby'",/m/03zgsb,1837
b'Charles Kay Ogden',/m/02gbyp,1889
b'Charles Maurras',/m/01g3g6,1868
b'Dami\xc3\xa3o de G\xc3\xb3is',/m/01y3bw,1502
b'Dan Zahavi',/m/03c5b09,1967
b'Catius',/m/0bwnp8,1967
b'Brian Massumi',/m/07lt8f,1956
b'Bryan Reynolds',/m/02pg9_9,1965
b'Roman Jakobson',/m/06ll8,1896
b'Kazi Nazrul Islam',/m/02m_dh,1899
b'Edward Said',/m/0969fd,1935
b'Donald Davidson',/m/01r6rr,1917
b'Georges Bataille',/m/01dqh6,1897
b'Josiah Royce',/m/02h4fy,1855
b'Gabriel Marcel',/m/02qyy8,1889
b'Antoine Augustin Cournot',/m/0444_5,1801
b'Ernesto Laclau',/m/02xn4y,1935
b'Eugen Fink',/m/02x9v42,1905
b'Giovanni Vailati',/m/07f4qc,1863
b'Willard Van Orman Quine',/m/085b_,1908
b'Martin Buber',/m/01hb49,1878
b'Stanis\xc5\x82aw Ignacy Witkiewicz',/m/0239lt,1885
b'Han Ryner',/m/05sz8sv,1861
b'John Colet',/m/015rvw,1467
b'Guillaume Bud\xc3\xa9',/m/015ry1,1467
b'L. E. J. Brouwer',/m/01794d,1881
b'Hermann Weyl',/m/019nfb,1885
b'Hans Blumenberg',/m/05vz4bj,1920
b'Hans K\xc3\xb6chler',/m/0b16h0,1948
b'Jan Pato\xc4\x8dka',/m/03rysd,1907
b'Hermarchus',/m/07fl9t,-324
b'J. L. Austin',/m/01jjv4,1911
b'Georg Henrik von Wright',/m/036xf,1916
b'Jaakko Hintikka',/m/05q8rb,1929
b'Hans-Georg Gadamer',/m/03mt9,1900
b'Hans Robert Jauss',/m/076m0n,1921
b'Noam Chomsky',/m/0b78hw,1928
b'Vilfredo Pareto',/m/0806p,1848
b'Gilbert Ryle',/m/03yfwn,1900
b'Adamantios Korais',/m/024knz,1748
b'David Brewster',/m/02c86,1781
b'Johann Friedrich Herbart',/m/01b5fd,1776
b'Rigas Feraios',/m/04dbhw,1757
b'Louis Althusser',/m/0k665,1918
b'L\xc3\xa9on Brunschvicg',/m/048z9d,1869
b'Julius Evola',/m/01qhxs,1898
b'Louis Gabriel Ambroise de Bonald',/m/02ydv2,1754
b'Ernst J\xc3\xbcnger',/m/014g17,1895
b'Ernst Cassirer',/m/02prnr,1874
b'Jos\xc3\xa9 Ortega y Gasset',/m/031954,1883
b'Marvin Farber',/m/0ddypp,1901
b'Metrodorus of Lampsacus',/m/049s_y,-330
b'Max Black',/m/01s3bn,1909
b'Karl-Otto Apel',/m/05z_64,1922
b'Melissus of Samos',/m/02glh2,-469
b'Lucien L\xc3\xa9vy-Bruhl',/m/0410_j,1857
b'Wilhelm Dilthey',/m/02wcp1,1833
b'Karl Jaspers',/m/01x15b,1883
b'Nicholas Rescher',/m/02rrz4,1928
b'Michel Onfray',/m/065_27,1959
b'Pierre Duhem',/m/026v7j,1861
b'Raoul Vaneigem',/m/01px7_,1934
b'Paul Ric\xc5\x93ur',/m/02bvkz,1913
b'Zeno of Sidon',/m/05zh2q,-149
b'\xc3\x89tienne de La Bo\xc3\xa9tie',/m/022zkz,1530
b'Georges Palante',/m/04cy47h,1862
b'Meister Eckhart',/m/01ttgn,1260
b'Julien Offray de La Mettrie',/m/03fh67,1709
b'Maurice Halbwachs',/m/03ftsv,1877
b'Salomon Maimon',/m/078dpp,1754
b'Roger Scruton',/m/03yzwb,1944
b'Russell Kirk',/m/04crpl,1918
b'Sebastian Shaumyan',/m/02qh76x,1916
b'Roman Ingarden',/m/067c83,1893
b'Shaun Gallagher',/m/0g89dg,1948
b'Roger Joseph Boscovich',/m/013q12,1711
b'Moses Mendelssohn',/m/0c74z,1729
b'Tom\xc3\xa1\xc5\xa1 Garrigue Masaryk',/m/012y66,1850
b'Vladimir Lenin',/m/05wh0sh,1870
b'Gian-Carlo Rota',/m/0ptrx,1932
b'W. D. Ross',/m/063xy9,1877
b'William Stern',/m/08nwsy,1871
b'Dewi Zephaniah Phillips',/m/05n0f4,1934
b'Pierre Ab\xc3\xa9lard',/m/0cf10s,1079
b'John of Salisbury',/m/0141x2,1120
b'Eric Voegelin',/m/01b5l3,1901
b'Ned Block',/m/0497b7,1942
b'Demetrius of Phalerum',/m/01mpqz,-349
b'Pier Paolo Pasolini',/m/016hvl,1922
b'Vladimir Solovyov',/m/03fh1g,1853
b'Sergei Bulgakov',/m/086ntb,1871
b'Charles Taylor',/m/01r356,1931
b'Murray Rothbard',/m/052h3,1926
b'John D. Caputo',/m/02g26j,1940
b'Jacques Ellul',/m/03kk6x,1912
b'Hubert Dreyfus',/m/03sy5d,1929
b'Alejandro Korn',/m/02qfqq1,1860
b'Francisco Romero',/m/08nwfb,1891
b'Philo',/m/01dvk1,-019
b'Ananda Coomaraswamy',/m/01q0hh,1877
b'Apollonius of Tyana',/m/0hph2,0002
b'Simone de Beauvoir',/m/0gsjk,1908
b'Karl Christian Friedrich Krause',/m/02vhq5,1781
b'Timon of Phlius',/m/04jdvk,-319
b'Arcesilaus',/m/016_pz,-314
b'Michael Martin',/m/037lh8,1932
b'Adam M\xc3\xbcller',/m/04nm1q,1779
b'Othmar Spann',/m/01_ldd,1878
b'Ebn Meskavayh',/m/06h2nt,0932
b'Mulla Sadra',/m/050h_6,1571
b'Bah\xc4\x81\xca\xbe al-d\xc4\xabn al-\xca\xbf\xc4\x80mil\xc4\xab',/m/02z5x42,1547
b'H\xc3\xa9l\xc3\xa8ne Cixous',/m/016k0j,1937
"b""Abu'l-Barak\xc4\x81t al-Baghd\xc4\x81d\xc4\xab""",/m/04mfv7,1080
b'Jean Buridan',/m/0176j0,1295
b'Bayazid Bastami',/m/04z4gp,0804
b'Sidney Hook',/m/04_68r,1902
b'C. H. Waddington',/m/04475g,1905
b'J. L. Mackie',/m/01jz59,1917
b'Henry George',/m/012102,1839
b'Murray Bookchin',/m/0142kg,1921
b'Menedemus',/m/0172th,-0344
b'Mircea Eliade',/m/014c1n,1907
b'Hypatia',/m/09kjn,0355
b'John Grinder',/m/01h_mc,1940
b'Judith Butler',/m/0132q1,1956
b'Hermann Ulrici',/m/05ngbs,1806
b'Andrew Seth Pringle-Pattison',/m/07srsh,1856
b'Heinrich Ritter',/m/015hq_,1791
b'Stephen Walt',/m/016wkh,1955
b'Pierre Teilhard de Chardin',/m/05x3p,1881
b'Hans Jonas',/m/02bb9q,1903
b'David Bohm',/m/019fz0,1917
b'Immanuel Hermann Fichte',/m/0164t2,1796
b'Georges Dume\xcc\x81zil',/m/05ws0b3,1898
b'Jos\xc3\xa9 Carlos Mari\xc3\xa1tegui',/m/0573p4,1894
b'David A. Kolb',/m/06x0gk,1939
b'Simon Critchley',/m/081fjw,1960
b'Stanley Cavell',/m/032xn8,1926
b'Xavier Zubiri',/m/05tm6j,1898
b'Aenesidemus',/m/0182n0,-079
b'John Veitch',/m/01d8d4,1829
b'Philo of Larissa',/m/04fhwm,1829
b'Crispin Wright',/m/01s3cb,1942
b'Michael Lynch',/m/04yg56q,1942
b'Derek Parfit',/m/0g8nz,1942
b'Harry Binswanger',/m/04crx7,1944
b'Abu Zayd al-Balkhi',/m/05xdhf,0850
b'William Molyneux',/m/075xjj,1656
b'Hegesias of Cyrene',/m/08kysd,-400
b'Ibn Hazm',/m/053wp4,0994
b'Muhammad Asad',/m/0c26gg,1900
b'Carneades',/m/0444t2,-213
b'Muhammad Abduh',/m/04bkjb,1849
b'Andr\xc3\xa9 Gorz',/m/080wmb,1923
b'Paul de Man',/m/01t22k,1919
b'Michel Serres',/m/03bql5,1930
b'Al-Jahiz',/m/02zrtw,0775
b'Panaetius',/m/05drgf,-184
b'Hecato of Rhodes',/m/0542h5,-200
b'Fran\xc3\xa7ois Laruelle',/m/0dxk7y,1937
b'Emil Fackenheim',/m/04x921,1916
b'Serge Moscovici',/m/07y2d4,1925
b'Vincent Descombes',/m/05x6x7k,1943
b'Franz Joseph Gall',/m/01t2vw,1758
b'Carl Gustav Hempel',/m/04y1p3,1905
b'John Earman',/m/04lr3c,1942
b'Hans Kelsen',/m/04qf94,1881
b'Ahmad Khani',/m/0921vb,1650
b'Francis Parker Yockey',/m/01npms,1917
b'Richard Kroner',/m/04mm79,1884
b'Walter Kaufmann',/m/049x31,1921
b'Ivan Soll',/m/04y8krw,1938
b'Ibn al-Nafis',/m/07c7x9,1213
b'Al-Tabarani',/m/0ff3r6,0873
b'Amin Ahsan Islahi',/m/0fg61h,1904
b'Khalid Masud',/m/027y1k3,1935
b'Don Ihde',/m/05_pnp,1934
b'Antoine Berman',/m/02x5zqg,1942
b'Al-Kindi',/m/01nyqc,0801
b'Fernando Gonz\xc3\xa1lez',/m/043m1pk,1895
b'Estanislao Zuleta',/m/07mnbj,1935
b'Mirza Mazhar Jan-e-Janaan',/m/025w7l3,1699
b'Qadi Thanaullah Panipati',/m/0ksr9j,1699
b'Clarence Irving Lewis',/m/027zvd,1883
b'William Frankena',/m/027d7xl,1908
b'David Lewis',/m/0232gm,1941
b'Robert Brandom',/m/03ktgg,1950
b'David Schmidtz',/m/06s6nb,1955
b'Jason Brennan',/m/0q41611,1979
b'Robert B. Pippin',/m/0drs69,1948
b'Rudolf Otto',/m/02qtpj,1869
b'Tudor Vianu',/m/03rtm6,1898
b'Wilfrid Sellars',/m/01y1jz,1912
b'Suzanne Briet',/m/09g7_g2,1894
